run,rewards,policy
0,349.54702731617067,"{'1': [0.2, 1.0], '2': [0.8, 0.3], '3': [0.5, 0.2], '4': [0.2, 0.8], '5': [0.4, 0.9]}"
1,342.05404360981817,"{'1': [0.2, 1.0], '2': [0.0, 0.7], '3': [0.3, 0.6], '4': [0.7, 0.3], '5': [0.5, 0.3]}"
2,358.2901088894192,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.5, 0.1], '4': [0.0, 0.3], '5': [1.0, 0.2]}"
3,467.1914810024257,"{'1': [0.2, 1.0], '2': [0.6000000000000001, 0.1], '3': [0.2, 0.9], '4': [0.7000000000000001, 0.30000000000000004], '5': [0.2, 0.5]}"
4,363.504562338636,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [1.0, 0.6], '4': [0.4, 0.2], '5': [0.3, 0.7]}"
5,364.87831623209877,"{'1': [0.2, 1.0], '2': [0.6000000000000001, 0.2], '3': [0.4, 0.30000000000000004], '4': [0.9, 0.30000000000000004], '5': [0.30000000000000004, 0.0]}"
6,348.6127712394553,"{'1': [0.2, 1.0], '2': [1.0, 0.1], '3': [0.2, 1.0], '4': [0.5, 0.9], '5': [0.0, 0.8]}"
7,421.149492147646,"{'1': [0.2, 1.0], '2': [0.6, 0.3], '3': [0.8, 0.1], '4': [1.0, 0.2], '5': [0.0, 0.7]}"
8,535.2474677648595,"{'1': [0.2, 1.0], '2': [0.4, 0.30000000000000004], '3': [0.30000000000000004, 0.6000000000000001], '4': [0.5, 0.2], '5': [0.0, 0.5]}"
9,528.4757754915911,"{'1': [0.2, 1.0], '2': [1.0, 0.5], '3': [0.2, 1.0], '4': [0.2, 0.9], '5': [0.0, 0.4]}"
