run,rewards,policy
0,359.5232295,"{'1': [0.2, 1.0], '2': [0.6000000000000001, 0.0], '3': [0.2, 0.4], '4': [0.0, 0.6000000000000001], '5': [0.2, 0.2]}"
1,475.8454601,"{'1': [0.2, 1.0], '2': [0.6, 0.6], '3': [0.6, 0.6], '4': [0.2, 0.4], '5': [0.2, 0.4]}"
2,349.7594976,"{'1': [0.2, 1.0], '2': [1.0, 0.6], '3': [0.6, 0.2], '4': [0.6, 0.4], '5': [0.2, 0.6]}"
3,544.3521585,"{'1': [0.2, 1.0], '2': [1.0, 0.6], '3': [0.0, 0.6], '4': [0.6, 1.0], '5': [0.0, 0.4]}"
4,481.1287344,"{'1': [0.2, 1.0], '2': [0.4, 0.2], '3': [0.6000000000000001, 0.4], '4': [0.2, 0.4], '5': [0.0, 0.6000000000000001]}"
5,475.9330653,"{'1': [0.2, 1.0], '2': [0.6000000000000001, 0.4], '3': [0.6000000000000001, 0.4], '4': [0.6000000000000001, 0.0], '5': [0.2, 0.4]}"
6,365.0449102,"{'1': [0.2, 1.0], '2': [0.4, 0.0], '3': [0.6000000000000001, 0.2], '4': [0.8, 0.8], '5': [0.6000000000000001, 0.8]}"
7,471.4506596,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [0.2, 1.0], '4': [0.8, 0.4], '5': [0.0, 0.6]}"
8,353.4000473,"{'1': [0.2, 1.0], '2': [0.8, 0.6], '3': [0.2, 0.2], '4': [0.8, 0.4], '5': [0.4, 0.6]}"
9,352.7647087,"{'1': [0.2, 1.0], '2': [0.2, 0.6], '3': [0.6, 1.0], '4': [0.4, 0.6], '5': [0.6, 0.4]}"
,418.2477849,
