run,rewards,policy
0,248.5239632,"{'1': [0.0, 0.8], '2': [0.6, 0.6], '3': [0.2, 0.4], '4': [0.6, 0.4], '5': [0.0, 0.4]}"
1,300.1926468,"{'1': [0.0, 0.8], '2': [0.8, 0.0], '3': [1.0, 0.8], '4': [0.8, 0.0], '5': [0.2, 0.8]}"
2,262.0769417,"{'1': [0.0, 1.0], '2': [0.0, 0.2], '3': [1.0, 0.6], '4': [0.2, 0.8], '5': [1.0, 0.0]}"
3,240.5100927,"{'1': [0.0, 0.8], '2': [0.6, 0.0], '3': [0.8, 0.6], '4': [0.4, 0.0], '5': [0.2, 0.8]}"
4,281.815263,"{'1': [0.0, 0.8], '2': [0.8, 0.0], '3': [0.0, 1.0], '4': [0.4, 0.0], '5': [0.6, 0.0]}"
5,260.0795187,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.6, 0.4], '4': [0.4, 1.0], '5': [0.4, 0.2]}"
6,306.6475837,"{'1': [0.0, 0.8], '2': [0.0, 0.4], '3': [0.2, 0.8], '4': [1.0, 0.0], '5': [0.8, 1.0]}"
7,273.2640851,"{'1': [0.0, 0.8], '2': [0.8, 0.0], '3': [0.4, 1.0], '4': [0.2, 0.0], '5': [0.0, 0.4]}"
8,292.4238645,"{'1': [0.0, 0.8], '2': [0.8, 0.4], '3': [0.8, 0.8], '4': [0.2, 0.8], '5': [0.8, 0.6]}"
9,227.1758578,"{'1': [0.0, 0.8], '2': [0.0, 1.0], '3': [0.2, 0.8], '4': [0.0, 0.6], '5': [0.2, 0.8]}"
,267.6705134,
