run,rewards,policy
0,194.4073621,"{'1': [0.0, 0.8], '2': [0.6, 0.4], '3': [0.8, 1.0], '4': [0.8, 1.0], '5': [1.0, 0.6]}"
1,246.9144195,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.2, 0.4], '4': [1.0, 0.8], '5': [0.2, 0.0]}"
2,279.7583168,"{'1': [0.0, 0.8], '2': [0.8, 0.2], '3': [1.0, 0.8], '4': [1.0, 0.8], '5': [0.8, 0.6]}"
3,252.8700541,"{'1': [0.0, 0.8], '2': [0.0, 0.6], '3': [0.6, 0.4], '4': [0.8, 1.0], '5': [0.0, 0.2]}"
4,304.125631,"{'1': [0.0, 0.8], '2': [0.8, 0.2], '3': [0.4, 1.0], '4': [1.0, 0.4], '5': [0.4, 0.0]}"
5,284.1321855,"{'1': [0.0, 0.8], '2': [0.8, 0.0], '3': [0.4, 1.0], '4': [0.2, 1.0], '5': [0.4, 0.8]}"
6,349.7548126,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.2, 1.0], '4': [0.6, 0.8], '5': [0.4, 0.0]}"
7,251.6585323,"{'1': [0.0, 0.8], '2': [0.0, 0.2], '3': [0.8, 0.0], '4': [0.6, 0.8], '5': [0.4, 0.0]}"
8,389.6715734,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.4, 0.8], '4': [0.2, 1.0], '5': [0.8, 0.0]}"
9,211.1998106,"{'1': [0.0, 0.8], '2': [1.0, 0.4], '3': [0.8, 1.0], '4': [0.8, 0.0], '5': [0.6, 0.4]}"
,266.3141855,
