run,rewards,policy
0,355.7001227,"{'1': [0.2, 1.0], '2': [0.6000000000000001, 0.0], '3': [0.2, 0.4], '4': [0.2, 0.8], '5': [0.8, 0.0]}"
1,398.6245902,"{'1': [0.2, 1.0], '2': [1.0, 0.0], '3': [0.8, 0.2], '4': [0.8, 0.6], '5': [0.0, 0.2]}"
2,554.9640202,"{'1': [0.2, 1.0], '2': [0.0, 0.4], '3': [0.8, 0.4], '4': [0.4, 0.0], '5': [0.0, 0.4]}"
3,460.5206906,"{'1': [0.2, 1.0], '2': [0.2, 0.4], '3': [0.8, 0.2], '4': [0.0, 1.0], '5': [0.2, 0.4]}"
4,333.8135352,"{'1': [0.2, 1.0], '2': [0.0, 0.8], '3': [0.4, 0.6000000000000001], '4': [0.0, 0.2], '5': [0.4, 0.2]}"
5,400.7109922,"{'1': [0.2, 1.0], '2': [0.8, 0.0], '3': [0.0, 0.0], '4': [0.4, 0.4], '5': [0.2, 0.2]}"
6,352.3665052,"{'1': [0.2, 1.0], '2': [0.4, 0.0], '3': [0.4, 0.8], '4': [1.0, 0.2], '5': [0.6, 0.0]}"
7,512.7985753,"{'1': [0.2, 1.0], '2': [0.0, 0.6], '3': [0.2, 0.8], '4': [0.0, 0.6], '5': [0.0, 0.4]}"
8,359.8566386,"{'1': [0.2, 1.0], '2': [0.4, 0.8], '3': [0.0, 0.6], '4': [0.2, 0.4], '5': [0.0, 0.2]}"
9,476.5187853,"{'1': [0.2, 1.0], '2': [0.0, 0.4], '3': [1.0, 0.4], '4': [0.6, 0.0], '5': [0.0, 0.6]}"
,399.6677912,
