run,rewards,policy
0,415.2177284,"{'1': [0.2, 1.0], '2': [0.2, 0.0], '3': [0.2, 0.4], '4': [0.4, 0.4], '5': [0.0, 0.0]}"
1,393.8908164,"{'1': [0.2, 1.0], '2': [0.6000000000000001, 0.6000000000000001], '3': [0.4, 0.8], '4': [0.6000000000000001, 0.0], '5': [0.4, 0.2]}"
2,376.3924533,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.2, 1.0], '4': [0.8, 0.4], '5': [0.0, 0.2]}"
3,389.3954521,"{'1': [0.2, 1.0], '2': [0.4, 0.6], '3': [0.0, 0.4], '4': [0.8, 0.0], '5': [0.2, 0.2]}"
4,391.1744619,"{'1': [0.2, 1.0], '2': [0.0, 0.8], '3': [0.2, 0.4], '4': [0.6000000000000001, 0.0], '5': [0.0, 0.2]}"
5,340.2241238,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.4, 0.4], '4': [0.8, 0.4], '5': [0.2, 0.8]}"
6,374.5743661,"{'1': [0.2, 1.0], '2': [0.2, 0.2], '3': [0.2, 0.6], '4': [0.6, 0.6], '5': [0.0, 0.0]}"
7,445.5919326,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [0.0, 0.6], '4': [0.4, 0.2], '5': [0.2, 0.6]}"
8,362.5748507,"{'1': [0.2, 1.0], '2': [0.4, 0.6], '3': [1.0, 0.0], '4': [0.4, 0.8], '5': [0.8, 1.0]}"
9,530.8064713,"{'1': [0.2, 1.0], '2': [1.0, 0.8], '3': [0.4, 1.0], '4': [1.0, 0.2], '5': [0.0, 0.4]}"
,390.284957,
